client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0001_41,0,,414,test,0.0,4.1020713
f0007_14,0,,376,test,0.0,4.1418843
f0018_13,0,,384,test,0.0,4.138065
f0103_28,0,,357,test,0.0,4.116647
f0140_09,0,,347,test,0.0,4.11622
f0143_00,0,,396,test,0.025,4.126319
f0144_05,0,,372,test,0.0,4.114558
f0176_30,0,,109,test,0.0,4.114271
f0182_29,0,,242,test,0.0,4.137439
f0197_34,0,,417,test,0.0,4.108115
f0206_38,0,,302,test,0.0,4.12672
f0208_05,0,,414,test,0.0,4.1100683
f0235_17,0,,311,test,0.0,4.116121
f0250_37,0,,250,test,0.0,4.1190853
f0252_30,0,,404,test,0.0,4.1366334
f0253_40,0,,361,test,0.0,4.1162033
f0256_08,0,,423,test,0.0,4.1178937
f0320_41,0,,421,test,0.0,4.104704
f0364_10,0,,326,test,0.0,4.0964403
f0390_33,0,,361,test,0.0,4.117368
f0401_11,0,,408,test,0.0,4.1223326
f0430_02,0,,351,test,0.0,4.1281276
f0451_44,0,,420,test,0.023809523809523808,4.0879846
f0474_10,0,,231,test,0.0,4.1235523
f0499_10,0,,107,test,0.0,4.1839504
f0561_12,0,,345,test,0.0,4.102037
f0592_11,0,,236,test,0.0,4.1043115
f0603_11,0,,326,test,0.0,4.1246414
f0612_11,0,,331,test,0.0,4.1289334
f0618_44,0,,272,test,0.0,4.134908
f0623_37,0,,318,test,0.0,4.1149783
f0649_22,0,,299,test,0.0,4.1220465
f0653_02,0,,346,test,0.02857142857142857,4.1118646
f0662_29,0,,313,test,0.0,4.14666
f0665_47,0,,391,test,0.0,4.1189895
f0671_18,0,,353,test,0.0,4.1338024
f0695_31,0,,368,test,0.0,4.1383724
f0735_17,0,,320,test,0.03125,4.101198
f0752_25,0,,118,test,0.0,4.1152816
f0790_06,0,,116,test,0.0,4.1285667
f0816_18,0,,325,test,0.0,4.141642
f0818_03,0,,356,test,0.0,4.110911
f0842_22,0,,356,test,0.0,4.094469
